"","id","name","gender","birthdate","birthplace","deathdate","deathplace","category","year","share","overallmotivation","motivation","affiliations","adjustedBirthdate","decadeFloor","decadeCeiling"
"11",164,"Adolf von Baeyer","male","1835-10-31","Berlin Prussia (now Germany)","1917-08-20","Starnberg Germany","Chemistry",1905,"1","","in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds","Munich University; Munich Germany",1835-10-31,1900,1909
"12",185,"Adolf Windaus","male","1876-12-25","Berlin Germany","1959-06-09","Göttingen West Germany (now Germany)","Chemistry",1928,"1","","for the services rendered through his research into the constitution of the sterols and their connection with the vitamins","Goettingen University; Göttingen Germany",1876-12-25,1920,1929
"13",541,"Adolfo Pérez Esquivel","male","1931-11-26","Buenos Aires Argentina","","","Peace",1980,"1","","for being a source of inspiration to repressed people especially in Latin America","",1931-11-26,1980,1989
"14",292,"Ahmed Zewail","male","1946-02-26","Damanhur Egypt","2016-08-02","Pasadena CA USA","Chemistry",1999,"1","","for his studies of the transition states of chemical reactions using femtosecond spectroscopy","California Institute of Technology (Caltech); Pasadena CA USA",1946-02-26,1990,1999
"15",853,"Akira Suzuki","male","1930-09-12","Mukawa Japan","","","Chemistry",2010,"1/3","","for palladium-catalyzed cross couplings in organic synthesis","Hokkaido University; Sapporo Japan",1930-09-12,2010,2019
"16",978,"Akira Yoshino","male","1948-01-30","Suita Japan","","","Chemistry",2019,"1/3","","for the development of lithium-ion batteries","Asahi Kasei Corporation; Tokyo Japan; Meijo University; Nagoya Japan",1948-01-30,2010,2019
"17",819,"Al Gore","male","1948-03-31","Washington DC USA","","","Peace",2007,"1/2","","for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change","",1948-03-31,2000,2009
"18",729,"Alan Heeger","male","1936-01-22","Sioux City IA USA","","","Chemistry",2000,"1/3","","for the discovery and development of conductive polymers","University of California; Santa Barbara CA USA",1936-01-22,2000,2009
"19",376,"Alan Hodgkin","male","1914-02-05","Banbury United Kingdom","1998-12-20","Cambridge United Kingdom","Physiology or Medicine",1963,"1/3","","for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane","University of Cambridge; Cambridge United Kingdom",1914-02-05,1960,1969
"20",730,"Alan MacDiarmid","male","1927-04-14","Masterton New Zealand","2007-02-07","Drexel Hill PA USA","Chemistry",2000,"1/3","","for the discovery and development of conductive polymers","University of Pennsylvania; Philadelphia PA USA",1927-04-14,2000,2009
"21",11,"Albert A. Michelson","male","1852-12-19","Strelno Prussia (now Strzelno Poland)","1931-05-09","Pasadena CA USA","Physics",1907,"1","","for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid","University of Chicago; Chicago IL USA",1852-12-19,1900,1909
"22",628,"Albert Camus","male","1913-11-07","Mondovi French Algeria (now Algeria)","1960-01-04","Sens France","Literature",1957,"1","","for his important literary production which with clear-sighted earnestness illuminates the problems of the human conscience in our times","",1913-11-07,1950,1959
"23",403,"Albert Claude","male","1898-08-24","Longlier Belgium","1983-05-22","Brussels Belgium","Physiology or Medicine",1974,"1/3","","for their discoveries concerning the structural and functional organization of the cell","Université Catholique de Louvain; Louvain Belgium",1898-08-24,1970,1979
"24",26,"Albert Einstein","male","1879-03-14","Ulm Germany","1955-04-18","Princeton NJ USA","Physics",1921,"1","","for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect","Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik; Berlin Germany",1879-03-14,1920,1929
"25",814,"Albert Fert","male","1938-03-07","Carcassonne France","","","Physics",2007,"1/2","","for the discovery of Giant Magnetoresistance","Universit&eacute; Paris-Sud; Orsay France; Unit&eacute; Mixte de Physique CNRS/THALES; Orsay France",1938-03-07,2000,2009
"26",465,"Albert Gobat","male","1843-05-21","Tramelan Switzerland","1914-03-16","Bern Switzerland","Peace",1902,"1/2","","for his eminently practical administration of the Inter-Parliamentary Union","",1843-05-21,1900,1909
"27",519,"Albert Luthuli","male","1898-00-00","Bulawayo Southern Rhodesia (now Zimbabwe)","1967-07-21","Stanger South Africa","Peace",1960,"1","","for his non-violent struggle against apartheid","",1898-01-01,1960,1969
"28",513,"Albert Schweitzer","male","1875-01-14","Kaysersberg Germany (now France)","1965-09-04","Lambaréné Gabon","Peace",1952,"1","","for his altruism reverence for life and tireless humanitarian work  which has helped making the idea of brotherhood between men and nations a living one","",1875-01-14,1950,1959
"29",332,"Albert Szent-Györgyi","male","1893-09-16","Budapest Austria-Hungary (now Hungary)","1986-10-22","Woods Hole MA USA","Physiology or Medicine",1937,"1","","for his discoveries in connection with the biological combustion processes with special reference to vitamin C and the catalysis of fumaric acid","Szeged University; Szeged Hungary",1893-09-16,1930,1939
"30",304,"Albrecht Kossel","male","1853-09-16","Rostock Mecklenburg (now Germany)","1927-07-05","Heidelberg Germany","Physiology or Medicine",1910,"1","","in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances","University of Heidelberg; Heidelberg Germany",1853-09-16,1910,1919
"31",83,"Aleksandr M. Prokhorov","male","1916-07-11","Atherton Australia","2002-01-08","Moscow Russia","Physics",1964,"1/4","","for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle","P.N. Lebedev Physical Institute; Moscow USSR (now Russia)",1916-07-11,1960,1969
"32",644,"Alexandr Solzhenitsyn","male","1918-12-11","Kislovodsk Russia","2008-08-03","Troitse-Lykovo Russia","Literature",1970,"1","","for the ethical force with which he has pursued the indispensable traditions of Russian literature","",1918-12-11,1970,1979
"33",766,"Alexei Abrikosov","male","1928-06-25","Moscow USSR (now Russia)","2017-03-29","N/A","Physics",2003,"1/3","","for pioneering contributions to the theory of superconductors and superfluids","Argonne National Laboratory; Argonne IL USA",1928-06-25,2000,2009
"34",306,"Alexis Carrel","male","1873-06-28","Sainte-Foy-lès-Lyon France","1944-11-05","Paris France","Physiology or Medicine",1912,"1","","in recognition of his work on vascular suture and the transplantation of blood vessels and organs","Rockefeller Institute for Medical Research; New York NY USA",1873-06-28,1910,1919
"35",544,"Alfonso García Robles","male","1911-03-20","Zamora Mexico","1991-09-02","Mexico City Mexico","Peace",1982,"1/2","","for their work for disarmament and nuclear and weapon-free zones","",1911-03-20,1980,1989
"36",392,"Alfred D. Hershey","male","1908-12-04","Owosso MI USA","1997-05-22","Syosset NY USA","Physiology or Medicine",1969,"1/3","","for their discoveries concerning the replication mechanism and the genetic structure of viruses","Carnegie Institution of Washington; Long Island New York NY USA",1908-12-04,1960,1969
"37",479,"Alfred Fried","male","1864-11-11","Vienna Austria","1921-05-04","Vienna Austria","Peace",1911,"1/2","","for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations","",1864-11-11,1910,1919
"38",450,"Alfred G. Gilman","male","1941-07-01","New Haven CT USA","2015-12-23","Dallas TX USA","Physiology or Medicine",1994,"1/2","","for their discovery of G-proteins and the role of these proteins in signal transduction in cells","University of Texas Southwestern Medical Center at Dallas; Dallas TX USA",1941-07-01,1990,1999
"39",87,"Alfred Kastler","male","1902-05-03","Guebwiller Germany (now France)","1984-01-07","Bandol France","Physics",1966,"1","","for the discovery and development of optical methods for studying Hertzian resonances in atoms","École Normale Supérieure; Paris France",1902-05-03,1960,1969
"40",174,"Alfred Werner","male","1866-12-12","Mulhouse France","1919-11-15","Zurich Switzerland","Chemistry",1913,"1","","in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry","University of Zurich; Zurich Switzerland",1866-12-12,1910,1919
"41",892,"Alice Munro","female","1931-07-10","Wingham Canada","","","Literature",2013,"1","","master of the contemporary short story","",1931-07-10,2010,2019
"42",417,"Allan M. Cormack","male","1924-02-23","Johannesburg South Africa","1998-05-07","Winchester MA USA","Physiology or Medicine",1979,"1/2","","for the development of computer assisted tomography","Tufts University; Medford MA USA",1924-02-23,1970,1979
"43",305,"Allvar Gullstrand","male","1862-06-05","Landskrona Sweden","1930-07-28","Stockholm Sweden","Physiology or Medicine",1911,"1","","for his work on the dioptrics of the eye","Uppsala University; Uppsala Sweden",1862-06-05,1910,1919
"44",300,"Alphonse Laveran","male","1845-06-18","Paris France","1922-05-18","Paris France","Physiology or Medicine",1907,"1","","in recognition of his work on the role played by protozoa in causing diseases","Institut Pasteur; Paris France",1845-06-18,1900,1909
"45",543,"Alva Myrdal","female","1902-01-31","Uppsala Sweden","1986-02-01","Stockholm Sweden","Peace",1982,"1/2","","for their work for disarmament and nuclear and weapon-free zones","",1902-01-31,1980,1989
"46",882,"Alvin E. Roth","male","1951-12-18","New York NY USA","","","Economic Sciences",2012,"1/2","","for the theory of stable allocations and the practice of market design","Harvard University; Cambridge MA USA; Harvard Business School; Boston MA USA",1951-12-18,2010,2019
"47",719,"Amartya Sen","male","1933-11-03","Santiniketan India","","","Economic Sciences",1998,"1","","for his contributions to welfare economics","Trinity College; Cambridge United Kingdom",1933-11-03,1990,1999
"48",509,"American Friends Service Committee","org","1917-00-00","Washington DC USA","","","Peace",1947,"1/2","","for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations","",1917-01-01,1940,1949
"49",537,"Amnesty International","org","1961-00-00","London United Kingdom","","","Peace",1977,"1","","for worldwide respect for human rights","",1961-01-01,1970,1979
"50",590,"Anatole France","male","1844-04-16","Paris France","1924-10-12","Saint-Cyr-sur-Loire France","Literature",1921,"1","","in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament","",1844-04-16,1920,1929
"51",360,"André F. Cournand","male","1895-09-24","Paris France","1988-02-19","Great Barrington MA USA","Physiology or Medicine",1956,"1/3","","for their discoveries concerning heart catheterization and pathological changes in the circulatory system","Columbia University Division Cardio-Pulmonary Laboratory Bellevue Hospital; New York NY USA",1895-09-24,1950,1959
"52",849,"Andre Geim","male","1958-10-21","Sochi Russia","","","Physics",2010,"1/2","","for groundbreaking experiments regarding the two-dimensional material graphene","University of Manchester; Manchester United Kingdom",1958-10-21,2010,2019
"53",618,"André Gide","male","1869-11-22","Paris France","1951-02-19","Paris France","Literature",1947,"1","","for his comprehensive and artistically significant writings in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight","",1869-11-22,1940,1949
"54",381,"André Lwoff","male","1902-05-08","Ainay-le-Château France","1994-09-30","Paris France","Physiology or Medicine",1965,"1/3","","for their discoveries concerning genetic control of enzyme and virus synthesis","Institut Pasteur; Paris France",1902-05-08,1960,1969
"55",990,"Andrea Ghez","female","1965-06-16","New York NY USA","","","Physics",2020,"1/4","","for the discovery of a supermassive compact object at the centre of our galaxy","University of California; Los Angeles CA USA",1965-06-16,2020,2029
"56",534,"Andrei Sakharov","male","1921-05-21","Moscow Russia","1989-12-14","Moscow USSR (now Russia)","Peace",1975,"1","","for his struggle for human rights in the Soviet Union for disarmament and cooperation between all nations","",1921-05-21,1970,1979
"57",377,"Andrew Huxley","male","1917-11-22","Hampstead United Kingdom","2012-05-30","Grantchester United Kingdom","Physiology or Medicine",1963,"1/3","","for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane","University College; London United Kingdom",1917-11-22,1960,1969
"58",412,"Andrew V. Schally","male","1926-11-30","Wilno Poland (now Vilnius Lithuania)","","","Physiology or Medicine",1977,"1/4","","for their discoveries concerning the peptide hormone production of the brain","Veterans Administration Hospital; New Orleans LA USA",1926-11-30,1970,1979
"59",802,"Andrew Z. Fire","male","1959-04-27","Stanford CA USA","","","Physiology or Medicine",2006,"1/2","","for their discovery of RNA interference - gene silencing by double-stranded RNA","Stanford University School of Medicine; Stanford CA USA",1959-04-27,2000,2009
"60",926,"Angus Deaton","male","1945-10-19","Edinburgh Scotland","","","Economic Sciences",2015,"1","","for his analysis of consumption poverty and welfare","Princeton University; Princeton NJ USA",1945-10-19,2010,2019
"61",768,"Anthony J. Leggett","male","1938-03-26","London United Kingdom","","","Physics",2003,"1/3","","for pioneering contributions to the theory of superconductors and superfluids","University of Illinois; Urbana IL USA",1938-03-26,2000,2009
"62",101,"Antony Hewish","male","1924-05-11","Fowey United Kingdom","","","Physics",1974,"1/2","","for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars","University of Cambridge; Cambridge United Kingdom",1924-05-11,1970,1979
"63",538,"Anwar al-Sadat","male","1918-12-25","Mit Abu al-Kawm Egypt","1981-10-06","Cairo Egypt","Peace",1978,"1/2","","for jointly having negotiated peace between Egypt and Israel in 1978","",1918-12-25,1970,1979
"64",214,"Archer J.P. Martin","male","1910-03-01","London United Kingdom","2002-07-28","Llangarron United Kingdom","Chemistry",1952,"1/2","","for their invention of partition chromatography","National Institute for Medical Research; London United Kingdom",1910-03-01,1950,1959
"65",311,"Archibald V. Hill","male","1886-09-26","Bristol United Kingdom","1977-06-03","Cambridge United Kingdom","Physiology or Medicine",1922,"1/2","","for his discovery relating to the production of heat in the muscle","London University; London United Kingdom",1886-09-26,1920,1929
"66",891,"Arieh Warshel","male","1940-11-20","Kibbutz Sde-Nahum British Mandate of Palestine (now Israel)","","","Chemistry",2013,"1/3","","for the development of multiscale models for complex chemical systems","University of Southern California; Los Angeles CA USA",1940-11-20,2010,2019
"67",490,"Aristide Briand","male","1862-03-28","Nantes France","1932-03-07","Paris France","Peace",1926,"1/2","","for their crucial role in bringing about the Locarno Treaty","",1862-03-28,1920,1929
"68",208,"Arne Tiselius","male","1902-08-10","Stockholm Sweden","1971-10-29","Uppsala Sweden","Chemistry",1948,"1","","for his research on electrophoresis and adsorption analysis especially for his discoveries concerning the complex nature of the serum proteins","Uppsala University; Uppsala Sweden",1902-08-10,1940,1949
"69",111,"Arno Penzias","male","1933-04-26","Munich Germany","","","Physics",1978,"1/4","","for their discovery of cosmic microwave background radiation","Bell Laboratories; Holmdel NJ USA",1933-04-26,1970,1979
"70",960,"Arthur Ashkin","male","1922-09-02","New York NY USA","2020-09-21","Rumson NJ USA","Physics",2018,"1/2","for groundbreaking inventions in the field of laser physics","for the optical tweezers and their application to biological systems","Bell Laboratories; Holmdel NJ USA",1922-09-02,2010,2019
"71",920,"Arthur B. McDonald","male","1943-08-29","Sydney Canada","","","Physics",2015,"1/2","","for the discovery of neutrino oscillations which shows that neutrinos have mass","Queen's University; Kingston Canada",1943-08-29,2010,2019
"72",33,"Arthur H. Compton","male","1892-09-10","Wooster OH USA","1962-03-15","Berkeley CA USA","Physics",1927,"1/2","","for his discovery of the effect named after him","University of Chicago; Chicago IL USA",1892-09-10,1920,1929
"73",186,"Arthur Harden","male","1865-10-12","Manchester United Kingdom","1940-06-17","Bourne United Kingdom","Chemistry",1929,"1/2","","for their investigations on the fermentation of sugar and fermentative enzymes","London University; London United Kingdom",1865-10-12,1920,1929
"74",499,"Arthur Henderson","male","1863-09-13","Glasgow Scotland","1935-10-20","London United Kingdom","Peace",1934,"1","","for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34","",1863-09-13,1930,1939
"75",368,"Arthur Kornberg","male","1918-03-03","Brooklyn NY USA","2007-10-26","Stanford CA USA","Physiology or Medicine",1959,"1/2","","for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid","Stanford University; Stanford CA USA",1918-03-03,1950,1959
"76",119,"Arthur L. Schawlow","male","1921-05-05","Mount Verno NY USA","1999-04-28","Palo Alto CA USA","Physics",1981,"1/4","","for their contribution to the development of laser spectroscopy","Stanford University; Stanford CA USA",1921-05-05,1980,1989
"77",203,"Artturi Virtanen","male","1895-01-15","Helsinki Russian Empire (now Finland)","1973-11-11","Helsinki Finland","Chemistry",1945,"1","","for his research and inventions in agricultural and nutrition chemistry especially for his fodder preservation method","University of Helsinki; Helsinki Finland",1895-01-15,1940,1949
"78",722,"Arvid Carlsson","male","1923-01-25","Uppsala Sweden","2018-06-29","Gothenburg Sweden","Physiology or Medicine",2000,"1/3","","for their discoveries concerning signal transduction in the nervous system","Göteborg University; Gothenburg Sweden",1923-01-25,2000,2009
"79",310,"August Krogh","male","1874-11-15","Grenå Denmark","1949-09-13","Copenhagen Denmark","Physiology or Medicine",1920,"1","","for his discovery of the capillary motor regulating mechanism","Copenhagen University; Copenhagen Denmark",1874-11-15,1920,1929
"80",475,"Auguste Beernaert","male","1829-07-26","Ostend Belgium","1912-10-06","Lucerne Switzerland","Peace",1909,"1/2","","for their prominent position in the international movement for peace and arbitration","",1829-07-26,1900,1909
"81",553,"Aung San Suu Kyi","female","1945-06-19","Rangoon Burma (now Yangon Myanmar)","","","Peace",1991,"1","","for her non-violent struggle for democracy and human rights","",1945-06-19,1990,1999
"82",780,"Avram Hershko","male","1937-12-31","Karcag Hungary","","","Chemistry",2004,"1/3","","for the discovery of ubiquitin-mediated protein degradation","Technion - Israel Institute of Technology; Haifa Israel",1937-12-31,2000,2009
"83",923,"Aziz Sancar","male","1946-09-08","Savur Turkey","","","Chemistry",2015,"1/3","","for mechanistic studies of DNA repair","University of North Carolina; Chapel Hill NC USA",1946-09-08,2010,2019
"84",845,"Barack H. Obama","male","1961-08-04","Honolulu HI USA","","","Peace",2009,"1","","for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples","",1961-08-04,2000,2009
"85",428,"Barbara McClintock","female","1902-06-16","Hartford CT USA","1992-09-02","Huntington NY USA","Physiology or Medicine",1983,"1","","for her discovery of mobile genetic elements","Cold Spring Harbor Laboratory; Cold Spring Harbor NY USA",1902-06-16,1980,1989
"86",942,"Barry C. Barish","male","1936-01-27","Omaha NE USA","","","Physics",2017,"1/4","","for decisive contributions to the LIGO detector and the observation of gravitational waves","LIGO/VIRGO Collaboration; N/A; California Institute of Technology (Caltech); Pasadena CA USA",1936-01-27,2010,2019
"87",789,"Barry J. Marshall","male","1951-09-30","Kalgoorlie Australia","","","Physiology or Medicine",2005,"1/2","","for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease","NHMRC Helicobacter pylori Research Laboratory QEII Medical Centre; Nedlands Australia; University of Western Australia; Perth Australia",1951-09-30,2000,2009
"88",743,"Barry Sharpless","male","1941-04-28","Philadelphia PA USA","","","Chemistry",2001,"1/2","","for his work on chirally catalysed oxidation reactions","The Scripps Research Institute; La Jolla CA USA",1941-04-28,2000,2009
"89",409,"Baruch S. Blumberg","male","1925-07-28","New York NY USA","2011-04-05","Moffett Field CA USA","Physiology or Medicine",1976,"1/2","","for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases","The Institute for Cancer Research; Philadelphia PA USA",1925-07-28,1970,1979
"90",419,"Baruj Benacerraf","male","1920-10-29","Caracas Venezuela","2011-08-02","Boston MA USA","Physiology or Medicine",1980,"1/3","","for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions","Harvard Medical School; Boston MA USA",1920-10-29,1980,1989
"91",103,"Ben R. Mottelson","male","1926-07-09","Chicago IL USA","","","Physics",1975,"1/3","","for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection","Nordita; Copenhagen Denmark",1926-07-09,1970,1979
"92",936,"Bengt Holmström","male","1949-04-18","Helsinki Finland","","","Economic Sciences",2016,"1/2","","for their contributions to contract theory","Massachusetts Institute of Technology (MIT); Cambridge MA USA",1949-04-18,2010,2019
"93",426,"Bengt I. Samuelsson","male","1934-05-21","Halmstad Sweden","","","Physiology or Medicine",1982,"1/3","","for their discoveries concerning prostaglandins and related biologically active substances","Karolinska Institutet; Stockholm Sweden",1934-05-21,1980,1989
"94",933,"Bernard L. Feringa","male","1951-05-18","Barger-Compascuum the Netherlands","","","Chemistry",2016,"1/3","","for the design and synthesis of molecular machines","University of Groningen; Groningen the Netherlands",1951-05-18,2010,2019
"95",345,"Bernardo Houssay","male","1887-04-10","Buenos Aires Argentina","1971-09-21","Buenos Aires Argentina","Physiology or Medicine",1947,"1/2","","for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar","Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine); Buenos Aires Argentina",1887-04-10,1940,1949
"96",445,"Bert Sakmann","male","1942-06-12","Stuttgart Germany","","","Physiology or Medicine",1991,"1/2","","for their discoveries concerning the function of single ion channels in cells","Max-Planck-Institut für medizinische Forschung; Heidelberg Germany",1942-06-12,1990,1999
"97",468,"Bertha von Suttner","female","1843-06-09","Prague Austrian Empire (now Czech Republic)","1914-06-21","Vienna Austria","Peace",1905,"1","","for her audacity to oppose the horrors of war","",1843-06-09,1900,1909
"98",689,"Bertil Ohlin","male","1899-04-23","Klippan Sweden","1979-08-03","Vålådalen Sweden","Economic Sciences",1977,"1/2","","for their pathbreaking contribution to the theory of international trade and international capital movements","Stockholm School of Economics; Stockholm Sweden",1899-04-23,1970,1979
"99",145,"Bertram N. Brockhouse","male","1918-07-15","Lethbridge Alberta Canada","2003-10-13","Hamilton Ontario Canada","Physics",1994,"1/2","for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter","for the development of neutron spectroscopy","McMaster University; Hamilton Ontario Canada",1918-07-15,1990,1999
"100",621,"Bertrand Russell","male","1872-05-18","Trelleck United Kingdom","1970-02-02","Penrhyndeudraeth United Kingdom","Literature",1950,"1","","in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought","",1872-05-18,1950,1959
"101",535,"Betty Williams","female","1943-05-22","Belfast Northern Ireland","2020-03-17","Belfast Northern Ireland","Peace",1976,"1/2","","for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland","",1943-05-22,1970,1979
"102",572,"Bjørnstjerne Bjørnson","male","1832-12-08","Kvikne Norway","1910-04-26","Paris France","Literature",1903,"1","","as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit","",1832-12-08,1900,1909
"103",937,"Bob Dylan","male","1941-05-24","Duluth MN USA","","","Literature",2016,"1","","for having created new poetic expressions within the great American song tradition","",1941-05-24,2010,2019
"104",629,"Boris Pasternak","male","1890-02-10","Moscow Russia","1960-05-30","Peredelkino Russia","Literature",1958,"1","","for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition","",1890-02-10,1950,1959
"105",99,"Brian D. Josephson","male","1940-01-04","Cardiff United Kingdom","","","Physics",1973,"1/2","","for his theoretical predictions of the properties of a supercurrent through a tunnel barrier in particular those phenomena which are generally known as the Josephson effects","University of Cambridge; Cambridge United Kingdom",1940-01-04,1970,1979
"106",879,"Brian Kobilka","male","1955-05-30","Little Falls MN USA","","","Chemistry",2012,"1/2","","for studies of G-protein-coupled receptors","Stanford University School of Medicine; Stanford CA USA",1955-05-30,2010,2019
"107",865,"Brian P. Schmidt","male","1967-02-24","Missoula MT USA","","","Physics",2011,"1/4","","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae","Australian National University; Weston Creek Australia",1967-02-24,2010,2019
"108",861,"Bruce A. Beutler","male","1957-12-29","Chicago IL USA","","","Physiology or Medicine",2011,"1/4","","for their discoveries concerning the activation of innate immunity","University of Texas Southwestern Medical Center at Dallas; Dallas TX USA; The Scripps Research Institute; La Jolla CA USA",1957-12-29,2010,2019
"109",261,"Bruce Merrifield","male","1921-07-15","Fort Worth TX USA","2006-05-14","Cresskill NJ USA","Chemistry",1984,"1","","for his development of methodology for chemical synthesis on a solid matrix","Rockefeller University; New York NY USA",1921-07-15,1980,1989
"110",105,"Burton Richter","male","1931-03-22","Brooklyn NY USA","2018-07-18","Stanford CA USA","Physics",1976,"1/2","","for their pioneering work in the discovery of a heavy elementary particle of a new kind","Stanford Linear Accelerator Center; Stanford CA USA",1931-03-22,1970,1979
"111",34,"C.T.R. Wilson","male","1869-02-14","Glencorse Scotland","1959-11-15","Carlops Scotland","Physics",1927,"1/2","","for his method of making the paths of electrically charged particles visible by condensation of vapour","University of Cambridge; Cambridge United Kingdom",1869-02-14,1920,1929
"112",298,"Camillo Golgi","male","1843-07-07","Corteno Italy","1926-01-21","Pavia Italy","Physiology or Medicine",1906,"1/2","","in recognition of their work on the structure of the nervous system","Pavia University; Pavia Italy",1843-07-07,1900,1909
"113",666,"Camilo José Cela","male","1916-05-11","Iria Flavia Spain","2002-01-17","Madrid Spain","Literature",1989,"1","","for a rich and intensive prose which with restrained compassion forms a challenging vision of man's vulnerability","",1916-05-11,1980,1989
"114",189,"Carl Bosch","male","1874-08-27","Cologne Germany","1940-04-26","Heidelberg Germany","Chemistry",1931,"1/2","","in recognition of their contributions to the invention and development of chemical high pressure methods","University of Heidelberg; Heidelberg Germany; I.G. Farbenindustrie A.G.; Heidelberg Germany",1874-08-27,1930,1939
"115",343,"Carl Cori","male","1896-12-05","Prague Austria-Hungary (now Czech Republic)","1984-10-20","Cambridge MA USA","Physiology or Medicine",1947,"1/4","","for their discovery of the course of the catalytic conversion of glycogen","Washington University; St. Louis MO USA",1896-12-05,1940,1949
